municipio,ibge_code,date,year,week,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975,municipio_norm,regiao_intermediaria_nome,municipality_order
niteroi,3303302,2022-11-14,2022,46,0.335885341070385,0.175625235571321,-0.008340120649403,0.680110802790174,1.39917858729415,0.991694561671599,1.97409645550799,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-11-21,2022,47,0.417910019240852,0.182737256392404,0.0597449967117398,0.776075041769963,1.51878400691569,1.06156580925531,2.17292685912804,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-11-28,2022,48,0.511520438707402,0.19438450574764,0.130526807442028,0.892514069972776,1.66782509396871,1.13942848464719,2.44125943975592,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-12-05,2022,49,0.593298761729466,0.201857012950291,0.197659016346896,0.988938507112037,1.80994916949139,1.21854681842784,2.68837926175799,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-12-12,2022,50,0.601410792876446,0.213773479498658,0.182414773059075,1.02040681269382,1.82469124678199,1.20011186473187,2.77432316430493,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-12-19,2022,51,0.613155005087846,0.220159724919057,0.181641944246495,1.0446680659292,1.846247138729,1.19918474200421,2.84245485943072,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-12-26,2022,52,0.680819264043707,0.21816845083471,0.253209100407675,1.10842942767974,1.9754955218911,1.28815260190986,3.02959645559514,niteroi,Rio de Janeiro,64
niteroi,3303302,2023-01-02,2023,1,0.635836761625258,0.214876626405067,0.214678573871326,1.05699494937919,1.88860178997518,1.23946343699758,2.87771031773035,niteroi,Rio de Janeiro,64
niteroi,3303302,2023-01-09,2023,2,0.558477900559184,0.211003204150814,0.144911620423589,0.97204418069478,1.74800982960121,1.15593740449524,2.64334240980523,niteroi,Rio de Janeiro,64
niteroi,3303302,2023-01-16,2023,3,0.431887589045325,0.197565891331331,0.0446584420359173,0.819116736054734,1.54016197435196,1.04567064177134,2.2684952722986,niteroi,Rio de Janeiro,64
niteroi,3303302,2023-01-23,2023,4,0.208162804629066,0.180383645995138,-0.145389141521404,0.561714750779536,1.23141363306999,0.864685742506706,1.75367704261513,niteroi,Rio de Janeiro,64
niteroi,3303302,2023-01-30,2023,5,0.16222676508773,0.161561258112112,-0.15443330081201,0.47888683098747,1.17612691560685,0.856900644813254,1.61427643915046,niteroi,Rio de Janeiro,64
niteroi,3303302,2023-02-06,2023,6,0.287149057626084,0.152196103879308,-0.0111553059773609,0.585453421229528,1.33262283626863,0.988906683729528,1.79580505720432,niteroi,Rio de Janeiro,64
niteroi,3303302,2023-02-13,2023,7,0.268384607220886,0.151336443691114,-0.0282348224136974,0.565004036855469,1.30785005187076,0.972160055025314,1.75945488537256,niteroi,Rio de Janeiro,64
niteroi,3303302,2023-02-20,2023,8,0.33777320982791,0.148684593563068,0.0463514064442974,0.629195013211522,1.40182254777523,1.04744242430995,1.87609973574025,niteroi,Rio de Janeiro,64
