model,model_label,date,observed_cases,predicted_cases,population,observed_incidence_per_100k,predicted_incidence_per_100k
S6,S6 rainfall-region,2019-08-19,206,290.1120436064515,17098585,1.204778056195878,1.696702058132012
S6,S6 rainfall-region,2019-08-26,192,253.7934175073078,17098585,1.1228999358718865,1.4842948554357438
S6,S6 rainfall-region,2019-09-02,229,260.8613896161199,17098585,1.3392921110138647,1.5256314462051677
S6,S6 rainfall-region,2019-09-09,184,280.52454838845955,17098585,1.0761124385438912,1.6406301947702662
S6,S6 rainfall-region,2019-09-16,179,194.87764981638946,17098585,1.0468702527138942,1.13972969000879
S6,S6 rainfall-region,2019-09-23,189,200.53096435188445,17098585,1.1053546243738883,1.1727927448492634
S6,S6 rainfall-region,2019-09-30,171,237.13377325851175,17098585,1.0000827553858989,1.3868619728387568
S6,S6 rainfall-region,2019-10-07,173,183.66246886039036,17098585,1.0117796297178978,1.074138408882316
S6,S6 rainfall-region,2019-10-14,183,220.01837505516332,17098585,1.070264001377892,1.2867636418754143
S6,S6 rainfall-region,2019-10-21,174,225.52237688700632,17098585,1.0176280668838973,1.3189534507504939
S6,S6 rainfall-region,2019-10-28,182,197.6614604154015,17098585,1.0644155642118924,1.1560106313791552
S6,S6 rainfall-region,2019-11-04,186,225.21477275089308,17098585,1.08780931287589,1.317154447288434
S6,S6 rainfall-region,2019-11-11,196,213.11774683046843,17098585,1.1462936845358842,1.2464057512973643
S6,S6 rainfall-region,2019-11-18,158,269.31722620931737,17098585,0.9240530722279067,1.5750848752064417
S6,S6 rainfall-region,2019-11-25,202,248.0445743084837,17098585,1.1813843075318806,1.4506731072102381
S6,S6 rainfall-region,2019-12-02,197,277.23393823683426,17098585,1.1521421217018835,1.621385268060686
S6,S6 rainfall-region,2019-12-09,260,316.968462016839,17098585,1.5205936631598465,1.8537701337089532
S6,S6 rainfall-region,2019-12-16,248,191.7019404918702,17098585,1.4504124171678534,1.1211567535668607
S6,S6 rainfall-region,2019-12-23,193,289.8934814987998,17098585,1.1287483730378858,1.6954238113785427
S6,S6 rainfall-region,2019-12-30,249,173.70729653780336,17098585,1.4562608543338527,1.0159162090769696
S6,S6 rainfall-region,2020-01-06,396,266.03066480017026,17098585,2.315981117735766,1.5558636273128463
S6,S6 rainfall-region,2020-01-13,448,270.1108608151473,17098585,2.620099850367735,1.5797263973314006
S6,S6 rainfall-region,2020-01-20,415,278.85776014746517,17098585,2.4271014238897544,1.630882088473784
S6,S6 rainfall-region,2020-01-27,423,288.4736747696185,17098585,2.4738889212177497,1.6871201609350628
S6,S6 rainfall-region,2020-02-03,395,405.57556933190517,17098585,2.3101326805697666,2.371983233302084
S6,S6 rainfall-region,2020-02-10,450,398.35554066172006,17098585,2.631796724699734,2.3297573492877923
S6,S6 rainfall-region,2020-02-17,458,353.5302450369745,17098585,2.6785842220277294,2.06759942437912
S6,S6 rainfall-region,2020-02-24,396,401.9971238756024,17098585,2.315981117735766,2.3510549198989414
S6,S6 rainfall-region,2020-03-02,416,374.75197083046345,17098585,2.432949861055754,2.1917133542364087
S6,S6 rainfall-region,2020-03-09,397,498.5803371179311,17098585,2.321829554901765,2.9159157738370225
S6,S6 rainfall-region,2020-03-16,242,554.1099533076356,17098585,1.415321794171857,3.240677244974573
S6,S6 rainfall-region,2020-03-23,189,449.175680148326,17098585,1.1053546243738883,2.6269757418425326
S6,S6 rainfall-region,2020-03-30,198,501.2560665602037,17098585,1.157990558867883,2.931564609353369
S6,S6 rainfall-region,2020-04-06,184,386.2287363847233,17098585,1.0761124385438912,2.2588344964494036
S6,S6 rainfall-region,2020-04-13,197,261.75544614944044,17098585,1.1521421217018835,1.5308602796631445
S6,S6 rainfall-region,2020-04-20,163,200.32953025141794,17098585,0.9532952580579036,1.1716146701695955
S6,S6 rainfall-region,2020-04-27,157,223.2249057407065,17098585,0.9182046350619072,1.3055168351106625
