date,year,week,total_cases,municipalities,state_population,incidence_per_100k,rolling_4wk_incidence_per_100k
2021-05-03,2021,18,176,92,17195818.0,1.023504668402515,1.183427272840408
2021-05-10,2021,19,175,92,17195818.0,1.0176893009684098,1.1412658589431453
2021-05-17,2021,20,202,92,17195818.0,1.1747042216892503,1.0322277195536729
2021-05-24,2021,21,157,92,17195818.0,0.9130126871545163,1.0394969288463043
2021-05-31,2021,22,181,92,17195818.0,1.052581505573041,1.0293200358366204
2021-06-07,2021,23,168,92,17195818.0,0.9769817289296735,0.9362741568909371
2021-06-14,2021,24,138,92,17195818.0,0.8025207059065175,0.8941127429936744
2021-06-21,2021,25,128,92,17195818.0,0.7443670315654656,0.7632669757263074
2021-06-28,2021,26,91,92,17195818.0,0.5291984365035731,0.6542288363368349
2021-07-05,2021,27,93,92,17195818.0,0.5408291713717835,0.6062520550054671
2021-07-12,2021,28,105,92,17195818.0,0.6106135805810459,0.5510060643814676
2021-07-19,2021,29,90,92,17195818.0,0.523383069069468,0.5219292272109416
2021-07-26,2021,30,71,92,17195818.0,0.41289108782146916,0.48412933888925785
2021-08-02,2021,31,67,92,17195818.0,0.3896296180850483,0.43179103198231106
2021-08-09,2021,32,69,92,17195818.0,0.40126035295325874,0.41289108782146916
2021-08-16,2021,33,77,92,17195818.0,0.4477832924261003,0.44051408313346885
2021-08-23,2021,34,90,92,17195818.0,0.523383069069468,0.4332448738408373
2021-08-30,2021,35,62,92,17195818.0,0.36055278091452236,0.43033719012378474
2021-09-06,2021,36,67,92,17195818.0,0.3896296180850483,0.42742950640673216
2021-09-13,2021,37,75,92,17195818.0,0.43615255755788995,0.3663681483486276
2021-09-20,2021,38,48,92,17195818.0,0.27913763683704956,0.36491430649010126
2021-09-27,2021,39,61,92,17195818.0,0.35473741348041715,0.32420673445136483
2021-10-04,2021,40,39,92,17195818.0,0.22679932993010277,0.27622995311999693
2021-10-11,2021,41,42,92,17195818.0,0.24424543223241837,0.26459921825178656
2021-10-18,2021,42,40,92,17195818.0,0.23261469736420798,0.2108070694863135
2021-10-25,2021,43,24,92,17195818.0,0.13956881841852478,0.2078993857692609
2021-11-01,2021,44,37,92,17195818.0,0.21516859506189237,0.17882254859873487
2021-11-08,2021,45,22,92,17195818.0,0.12793808355031439,0.19481480904252418
2021-11-15,2021,46,51,92,17195818.0,0.29658373913936514,0.2704145856858917
2021-11-22,2021,47,76,92,17195818.0,0.4419679249919951,0.31548368330020704
2021-11-29,2021,48,68,92,17195818.0,0.3954449855191535,0.38672193436799573
2021-12-06,2021,49,71,92,17195818.0,0.41289108782146916,0.3663681483486275
2021-12-13,2021,50,37,92,17195818.0,0.21516859506189237,0.32711441816841746
2021-12-20,2021,51,49,92,17195818.0,0.2849530042711548,0.2675069019688392
2021-12-27,2021,52,27,92,17195818.0,0.1570149207208404,0.2587838508176814
2022-01-03,2022,1,65,92,17195818.0,0.37799888321683794,0.32129905073431225
2022-01-10,2022,2,80,92,17195818.0,0.46522939472841596,0.35037588790483826
2022-01-17,2022,3,69,92,17195818.0,0.40126035295325874,0.43906024127494253
2022-01-24,2022,4,88,92,17195818.0,0.5117523342012575,0.5015754411915734
2022-01-31,2022,5,108,92,17195818.0,0.6280596828833616,0.5902597945616778
2022-02-07,2022,6,141,92,17195818.0,0.819966808208833,0.7094748269608343
2022-02-14,2022,7,151,92,17195818.0,0.8781204825498852,0.809789915199149
2022-02-21,2022,8,157,92,17195818.0,0.9130126871545163,0.9973355149490417
2022-02-28,2022,9,237,92,17195818.0,1.3782420818829322,1.322996091258933
2022-03-07,2022,10,365,92,17195818.0,2.122609113448398,1.6864565558905078
2022-03-14,2022,11,401,92,17195818.0,2.331962341076185,2.1822166296479764
2022-03-21,2022,12,498,92,17195818.0,2.8960529821843894,2.6009230849035503
2022-03-28,2022,13,525,92,17195818.0,3.0530679029052292,2.996368070422704
2022-04-04,2022,14,637,92,17195818.0,3.704389055525012,3.3074902281473317
2022-04-11,2022,15,615,92,17195818.0,3.576450971974697,3.688396795081222
2022-04-18,2022,16,760,92,17195818.0,4.419679249919951,4.357164050003321
2022-04-25,2022,17,985,92,17195818.0,5.728136922593621,5.1509617047586795
2022-05-02,2022,18,1183,92,17195818.0,6.87957967454645,6.412896437959508
2022-05-09,2022,19,1483,92,17195818.0,8.62418990477801,7.125278948637395
2022-05-16,2022,20,1250,92,17195818.0,7.269209292631499,7.357893646001603
2022-05-23,2022,21,1145,92,17195818.0,6.658595712050453,7.203786408997815
2022-05-30,2022,22,1077,92,17195818.0,6.2631507265313,6.36928118220372
2022-06-06,2022,23,909,92,17195818.0,5.286168997601626,5.454814653190677
2022-06-13,2022,24,621,92,17195818.0,3.611343176579329,4.66392468215237
2022-06-20,2022,25,601,92,17195818.0,3.4950358278972247,3.8541347669532207
2022-06-27,2022,26,520,92,17195818.0,3.0239910657347036,3.1940905631822805
2022-07-04,2022,27,455,92,17195818.0,2.645992182517866,2.938214396081652
2022-07-11,2022,28,445,92,17195818.0,2.5878385081768136,2.7012381731418653
2022-07-18,2022,29,438,92,17195818.0,2.5471309361380774,2.5180540989675513
