municipio,ibge_code,rainfall_municipality_slope_idx,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
saquarema,3305505,81,-0.130079571284608,0.100687567247645,-0.327427203089993,0.067268060520777,0.878025562518911,0.720775759613859,1.06958215249866
seropedica,3305554,82,0.450385263241807,0.106759126879658,0.241137374557677,0.659633151925937,1.5689165149324,1.2726958593305,1.93408268973429
silva jardim,3305604,83,0.401649738086081,0.181319430545418,0.0462636542170625,0.7570358219551,1.49428784888128,1.04735051293709,2.13194737361853
sumidouro,3305703,84,0.556682425273743,0.109395975132463,0.342266314014116,0.77109853653337,1.7448741370251,1.40813525373568,2.16214013957964
tangua,3305752,85,0.929858775884469,0.147372731645338,0.641008221859607,1.21870932990933,2.53415126907419,1.89839391700495,3.38281881174696
teresopolis,3305802,86,0.256501302519481,0.0986395860925318,0.0631677137781182,0.449834891260843,1.29240044917535,1.06520547388564,1.56805326481824
trajano de moraes,3305901,87,0.182626732402277,0.176574723314123,-0.163459725293404,0.528713190097958,1.20036626661496,0.849200699621887,1.69674751171155
tres rios,3306008,88,-0.107774075054448,0.0878807524983355,-0.280020349951185,0.0644721998422898,0.8978304158064,0.755768361449972,1.06659592629752
valenca,3306107,89,0.398690719213168,0.169638086495038,0.0662000696828934,0.731181368743443,1.48987275832449,1.06844045832741,2.0775334916391
varre-sai,3306156,90,0.998922300339086,0.123774982509677,0.756323334620118,1.24152126605805,2.71535391504328,2.13042892911645,3.46087437284223
vassouras,3306206,91,0.287920196633964,0.0905205092164572,0.110499998569708,0.46534039469822,1.333650870048,1.11683634745472,1.59255619431914
volta redonda,3306305,92,0.222001325635842,0.0788382498116738,0.0674783560049616,0.376524295266723,1.24857303301635,1.06980710444766,1.45721094232266
