municipio,ibge_code,year,week,date,cases,rainfall_lag,temperature_lag,fitted_mu,nb_size,nb_variance,pearson_residual,residual_direction
laje do muriae,3302304,2019,45,2019-11-04,0,18.8727777,20.5238094286,0.112869328696478,0.978497577725951,0.125888763440507,-0.318113762419948,overpredicted
laje do muriae,3302304,2019,46,2019-11-11,0,20.3394447,22.25,0.105649138508996,0.978497577725951,0.117056157516271,-0.308793982152885,overpredicted
laje do muriae,3302304,2019,47,2019-11-18,0,20.4905556,24.7142857143,0.140359262130229,0.978497577725951,0.160492906723941,-0.350358900765949,overpredicted
laje do muriae,3302304,2019,48,2019-11-25,0,20.3661108,24.8214285714,0.14607951361226,0.978497577725951,0.167887666011356,-0.356516733201306,overpredicted
laje do muriae,3302304,2019,49,2019-12-02,0,31.99,23.7380951429,0.166207234848273,0.978497577725951,0.194439133980931,-0.376927726741766,overpredicted
laje do muriae,3302304,2019,50,2019-12-09,0,32.0316672,25.6428571429,0.180438095664571,0.978497577725951,0.213711459961212,-0.390314179975027,overpredicted
laje do muriae,3302304,2019,51,2019-12-16,0,42.7505568,29.5119048571,0.166178995487902,0.978497577725951,0.194401301981033,-0.376900353530391,overpredicted
laje do muriae,3302304,2019,52,2019-12-23,0,51.3955582,25.4285714286,0.170872135565021,0.978497577725951,0.200711030803174,-0.381404336512783,overpredicted
laje do muriae,3302304,2020,1,2019-12-30,0,52.4200038,24.9642857143,0.126294303745267,0.978497577725951,0.142595060662388,-0.334450247641541,overpredicted
laje do muriae,3302304,2020,2,2020-01-06,0,53.123893,25.1190477143,0.160707935494659,0.978497577725951,0.187102523604911,-0.371533089887607,overpredicted
laje do muriae,3302304,2020,3,2020-01-13,0,52.737223,25.9642854286,0.171563070166149,0.978497577725951,0.201643765013897,-0.382059858533502,overpredicted
laje do muriae,3302304,2020,4,2020-01-20,0,60.006668,27.3571425714,0.217448137593893,0.978497577725951,0.265770886284739,-0.421795546559576,overpredicted
laje do muriae,3302304,2020,5,2020-01-27,0,63.74889,28.4642857143,0.20500423164694,0.978497577725951,0.247954501478802,-0.411696170402269,overpredicted
laje do muriae,3302304,2020,6,2020-02-03,0,65.835,27.8571428571,0.225103501430239,0.978497577725951,0.276888592686076,-0.427789103741098,overpredicted
laje do muriae,3302304,2020,7,2020-02-10,0,43.78611,28.7666668,0.158253623709412,0.978497577725951,0.183848178041742,-0.369082962744146,overpredicted
laje do muriae,3302304,2020,8,2020-02-17,0,58.7049988,30.4253242857,0.177750965173541,0.978497577725951,0.21004067783032,-0.387846844161088,overpredicted
laje do muriae,3302304,2020,9,2020-02-24,0,52.2161108,28.6428571429,0.163027723615362,0.978497577725951,0.190189812998326,-0.373824566836772,overpredicted
laje do muriae,3302304,2020,10,2020-03-02,0,51.1361084,25.345238,0.148706293276078,0.978497577725951,0.171305799052376,-0.359288499325257,overpredicted
laje do muriae,3302304,2020,11,2020-03-09,0,39.449998,29.7380951429,0.206839687036195,0.978497577725951,0.250562489327294,-0.413214777451806,overpredicted
laje do muriae,3302304,2020,12,2020-03-16,0,36.162777,28.1214288571,0.205245535317093,0.978497577725951,0.248296975327299,-0.4118964075367,overpredicted
laje do muriae,3302304,2020,13,2020-03-23,0,35.9127786,27.1734695714,0.181794300660759,0.978497577725951,0.215569721780902,-0.39154923803011,overpredicted
laje do muriae,3302304,2020,14,2020-03-30,0,32.2077783,25.4285714286,0.162753103005821,0.978497577725951,0.189823760247082,-0.373554516261959,overpredicted
laje do muriae,3302304,2020,15,2020-04-06,0,33.6699998,24.7959182857,0.121548112857249,0.978497577725951,0.136646713074015,-0.328812732061135,overpredicted
laje do muriae,3302304,2020,16,2020-04-13,0,44.4266669,23.9591837143,0.127034876023205,0.978497577725951,0.143527364194443,-0.335317031995515,overpredicted
